Hall Of Fame Resort & Entertainment Quarterly Net Income (Millions of US $),Hall Of Fame Resort & Entertainment Quarterly Net Income (Millions of US $).1
2024-09-30,$-5
2024-06-30,$-16
2024-03-31,$-15
2023-12-31,$-20
2023-09-30,$-16
2023-06-30,$-14
2023-03-31,$-20
2022-12-31,$-19
2022-09-30,$-11
2022-06-30,$-9
2022-03-31,$-8
2021-12-31,$9
2021-09-30,$8
2021-06-30,$16
2021-03-31,$-126
2020-12-31,$-14
2020-09-30,$-8
2020-06-30,$-10
2020-03-31,$-13
2019-12-31,$-46
2019-09-30,$-11
2019-06-30,$0
2019-03-31,$0
2018-12-31,$-1
2018-09-30,$0
2018-06-30,$0
2018-03-31,$-0
2017-12-31,
2017-09-30,$0
