Sohu Quarterly Net Income (Millions of US $),Sohu Quarterly Net Income (Millions of US $).1
2024-12-31,$-21
2024-09-30,$-16
2024-06-30,$-38
2024-03-31,$-25
2023-12-31,$23
2023-09-30,$-14
2023-06-30,$-21
2023-03-31,$-18
2022-12-31,$-7
2022-09-30,$-22
2022-06-30,$9
2022-03-31,$3
2021-12-31,$4
2021-09-30,$834
2021-06-30,$41
2021-03-31,$49
2020-12-31,$43
2020-09-30,$-30
2020-06-30,$-80
2020-03-31,$-20
2019-12-31,$-17
2019-09-30,$-23
2019-06-30,$-53
2019-03-31,$-56
2018-12-31,$15
2018-09-30,$-34
2018-06-30,$-48
2018-03-31,$-93
2017-12-31,$-294
2017-09-30,$-104
2017-06-30,$-88
2017-03-31,$-68
2016-12-31,$-66
2016-09-30,$-75
2016-06-30,$-63
2016-03-31,$-20
2015-12-31,$-30
2015-09-30,$39
2015-06-30,$-27
2015-03-31,$-31
2014-12-31,$-20
2014-09-30,$-27
2014-06-30,$-41
2014-03-31,$-79
2013-12-31,$3
2013-09-30,$-64
2013-06-30,$22
2013-03-31,$24
2012-12-31,$11
2012-09-30,$26
2012-06-30,$13
2012-03-31,$23
2011-12-31,$27
2011-09-30,$47
2011-06-30,$44
2011-03-31,$45
2010-12-31,$44
2010-09-30,$41
2010-06-30,$33
2010-03-31,$30
2009-12-31,$32
2009-09-30,$37
2009-06-30,$34
2009-03-31,$45
