Redhill Biopharma Quarterly Net Income (Millions of US $),Redhill Biopharma Quarterly Net Income (Millions of US $).1
2024-06-30,
2022-12-31,$-7
2022-09-30,$-36
2022-06-30,$-12
2022-03-31,$-17
2021-12-31,$-24
2021-09-30,$-21
2021-06-30,$-29
2021-03-31,$-23
2020-12-31,$-24
2020-09-30,$-19
2020-06-30,$-16
2020-03-31,$-17
2019-12-31,$-12
2019-09-30,$-10
2019-06-30,$-11
2019-03-31,$-10
2018-12-31,$-8
2018-09-30,$-10
2018-06-30,$-11
2018-03-31,$-10
2017-12-31,$-10
2017-09-30,$-16
2017-06-30,$-11
2017-03-31,$-9
2016-12-31,$-8
2016-09-30,$-9
2016-06-30,$-7
2016-03-31,$-6
2015-12-31,$-7
2015-09-30,$-3
2015-06-30,$-7
2015-03-31,$-5
2014-12-31,$-5
2014-09-30,$-4
2014-06-30,$-5
2014-03-31,$3
2013-12-31,$-3
2013-09-30,$-3
2013-06-30,$-3
2013-03-31,$-2
2012-12-31,$-3
2012-09-30,$-2
2012-06-30,$-2
2012-03-31,$-3
