Herbalife Quarterly Net Income (Millions of US $),Herbalife Quarterly Net Income (Millions of US $).1
2024-12-31,$178
2024-09-30,$47
2024-06-30,$5
2024-03-31,$24
2023-12-31,$10
2023-09-30,$43
2023-06-30,$60
2023-03-31,$29
2022-12-31,$54
2022-09-30,$82
2022-06-30,$87
2022-03-31,$98
2021-12-31,$38
2021-09-30,$117
2021-06-30,$144
2021-03-31,$147
2020-12-31,$74
2020-09-30,$138
2020-06-30,$115
2020-03-31,$46
2019-12-31,$57
2019-09-30,$82
2019-06-30,$77
2019-03-31,$96
2018-12-31,$49
2018-09-30,$71
2018-06-30,$94
2018-03-31,$82
2017-12-31,$-63
2017-09-30,$55
2017-06-30,$138
2017-03-31,$85
2016-12-31,$99
2016-09-30,$88
2016-06-30,$-23
2016-03-31,$96
2015-12-31,$85
2015-09-30,$94
2015-06-30,$83
2015-03-31,$78
2014-12-31,$103
2014-09-30,$11
2014-06-30,$120
2014-03-31,$75
2013-12-31,$124
2013-09-30,$142
2013-06-30,$143
2013-03-31,$119
2012-12-31,$112
2012-09-30,$112
2012-06-30,$132
2012-03-31,$108
2011-12-31,$108
2011-09-30,$108
2011-06-30,$111
2011-03-31,$88
2010-12-31,$80
2010-09-30,$79
2010-06-30,$82
2010-03-31,$52
2009-12-31,$56
2009-09-30,$58
2009-06-30,$48
2009-03-31,$42
