Magnachip Semiconductor Quarterly Net Income (Millions of US $),Magnachip Semiconductor Quarterly Net Income (Millions of US $).1
2024-12-31,$-16
2024-09-30,$-10
2024-06-30,$-13
2024-03-31,$-15
2023-12-31,$-6
2023-09-30,$-5
2023-06-30,$-4
2023-03-31,$-21
2022-12-31,$3
2022-09-30,$-17
2022-06-30,$-3
2022-03-31,$10
2021-12-31,$54
2021-09-30,$11
2021-06-30,$-0
2021-03-31,$-7
2020-12-31,$67
2020-09-30,$273
2020-06-30,$29
2020-03-31,$-24
2019-12-31,$23
2019-09-30,$-2
2019-06-30,$-10
2019-03-31,$-34
2018-12-31,$-2
2018-09-30,$17
2018-06-30,$-22
2018-03-31,$3
2017-12-31,$44
2017-09-30,$6
2017-06-30,$-8
2017-03-31,$44
2016-12-31,$-50
2016-09-30,$30
2016-06-30,$-18
2016-03-31,$8
2015-12-31,$23
2015-09-30,$-57
2015-06-30,$-31
2015-03-31,$-20
2014-12-31,$-64
2014-09-30,$-47
2014-06-30,$15
2014-03-31,$-22
2013-12-31,$-22
2013-09-30,$0
2013-06-30,$-25
2013-03-31,$-18
2012-12-31,$125
2012-09-30,$48
2012-06-30,$4
2012-03-31,$15
2011-12-31,$24
2011-09-30,$-56
2011-06-30,$32
2011-03-31,$22
2010-12-31,$12
2010-09-30,$61
2010-06-30,$-31
2010-03-31,$31
