MEDIFAST INC Quarterly Net Income (Millions of US $),MEDIFAST INC Quarterly Net Income (Millions of US $).1
2024-12-31,$1
2024-09-30,$1
2024-06-30,$-8
2024-03-31,$8
2023-12-31,$6
2023-09-30,$23
2023-06-30,$30
2023-03-31,$40
2022-12-31,$27
2022-09-30,$36
2022-06-30,$39
2022-03-31,$42
2021-12-31,$34
2021-09-30,$42
2021-06-30,$47
2021-03-31,$41
2020-12-31,$28
2020-09-30,$34
2020-06-30,$22
2020-03-31,$18
2019-12-31,$20
2019-09-30,$16
2019-06-30,$21
2019-03-31,$21
2018-12-31,$16
2018-09-30,$14
2018-06-30,$14
2018-03-31,$12
2017-12-31,$7
2017-09-30,$7
2017-06-30,$8
2017-03-31,$6
2016-12-31,$4
2016-09-30,$6
2016-06-30,$3
2016-03-31,$4
2015-12-31,$4
2015-09-30,$6
2015-06-30,$6
2015-03-31,$4
2014-12-31,$-3
2014-09-30,$5
2014-06-30,$6
2014-03-31,$6
2013-12-31,$5
2013-09-30,$6
2013-06-30,$7
2013-03-31,$6
2012-12-31,$2
2012-09-30,$7
2012-06-30,$3
2012-03-31,$4
2011-12-31,$1
2011-09-30,$5
2011-06-30,$6
2011-03-31,$6
2010-12-31,$3
2010-09-30,$6
2010-06-30,$6
2010-03-31,$5
2009-12-31,$2
2009-09-30,$3
2009-06-30,$3
2009-03-31,$2
