Mammoth Energy Services Quarterly Net Income (Millions of US $),Mammoth Energy Services Quarterly Net Income (Millions of US $).1
2024-12-31,$-15
2024-09-30,$-24
2024-06-30,$-156
2024-03-31,$-12
2023-12-31,$-6
2023-09-30,$-1
2023-06-30,$-4
2023-03-31,$8
2022-12-31,$5
2022-09-30,$8
2022-06-30,$2
2022-03-31,$-15
2021-12-31,$-13
2021-09-30,$-41
2021-06-30,$-35
2021-03-31,$-12
2020-12-31,$-12
2020-09-30,$3
2020-06-30,$-15
2020-03-31,$-84
2019-12-31,$-61
2019-09-30,$-36
2019-06-30,$-11
2019-03-31,$28
2018-12-31,$68
2018-09-30,$70
2018-06-30,$43
2018-03-31,$56
2017-12-31,$66
2017-09-30,$-1
2017-06-30,$-1
2017-03-31,$-5
2016-12-31,$-60
2016-09-30,$-3
2016-06-30,$-8
2016-03-31,$-21
2015-12-31,
2015-09-30,$-4
2014-12-31,
