Bright Scholar Education Quarterly Net Income (Millions of US $),Bright Scholar Education Quarterly Net Income (Millions of US $).1
2024-11-30,$5
2024-08-31,$-139
2024-05-31,$-9
2024-02-29,$0
2023-11-30,$8
2023-05-31,$-5
2023-02-28,
2022-05-31,$-1
2021-08-31,$-56
2021-05-31,$27
2021-02-28,$-7
2020-11-30,$28
2020-08-31,$-21
2020-05-31,$11
2020-02-29,$7
2019-11-30,$27
2019-08-31,$-9
2019-05-31,$20
2019-02-28,$1
2018-11-30,$22
2018-08-31,$0
2018-05-31,$20
2018-02-28,$-2
2017-11-30,$18
2017-05-31,$16
2017-02-28,
2016-08-31,
