Berry Quarterly Net Income (Millions of US $),Berry Quarterly Net Income (Millions of US $).1
2024-12-31,$-2
2024-09-30,$70
2024-06-30,$-9
2024-03-31,$-40
2023-12-31,$63
2023-09-30,$-45
2023-06-30,$26
2023-03-31,$-6
2022-12-31,$72
2022-09-30,$192
2022-06-30,$43
2022-03-31,$-57
2021-12-31,$9
2021-09-30,$10
2021-06-30,$-13
2021-03-31,$-21
2020-12-31,$-64
2020-09-30,$-19
2020-06-30,$-65
2020-03-31,$-115
2019-12-31,$-7
2019-09-30,$53
2019-06-30,$32
2019-03-31,$-34
2018-12-31,$132
2018-09-30,$-50
2018-06-30,$-34
2018-03-31,$1
2017-12-31,
2017-09-30,$-15
2017-06-30,$7
2016-12-31,
