HIVE Digital Technologies Quarterly Net Income (Millions of US $),HIVE Digital Technologies Quarterly Net Income (Millions of US $).1
2024-12-31,$1
2024-09-30,$-8
2024-06-30,$3
2024-03-31,$-3
2023-12-31,$-7
2023-09-30,$-25
2023-06-30,$-16
2023-03-31,$7
2022-12-31,$-93
2022-09-30,$-34
2022-06-30,$-116
2022-03-31,$-34
2021-12-31,$51
2021-09-30,$39
2021-06-30,$23
2021-03-31,$-4
2020-12-31,$17
2020-09-30,$9
2020-06-30,$2
2020-03-31,$1
2019-12-31,$3
2019-09-30,$-12
2019-06-30,$6
2019-03-31,
2018-12-31,$-36
2018-03-31,
