FuelCell Energy Quarterly Net Income (Millions of US $),FuelCell Energy Quarterly Net Income (Millions of US $).1
2025-01-31,$-29
2024-10-31,$-42
2024-07-31,$-33
2024-04-30,$-33
2024-01-31,$-21
2023-10-31,$-31
2023-07-31,$-25
2023-04-30,$-35
2023-01-31,$-19
2022-10-31,$-43
2022-07-31,$-30
2022-04-30,$-31
2022-01-31,$-41
2021-10-31,$-25
2021-07-31,$-13
2021-04-30,$-20
2021-01-31,$-47
2020-10-31,$-20
2020-07-31,$-16
2020-04-30,$-16
2020-01-31,$-41
2019-10-31,$-36
2019-07-31,$-8
2019-04-30,$-23
2019-01-31,$-33
2018-10-31,$-18
2018-07-31,$-18
2018-04-30,$-18
2018-01-31,$-8
2017-10-31,$-11
2017-07-31,$-18
2017-04-30,$-14
2017-01-31,$-14
2016-10-31,$-14
2016-07-31,$-12
2016-04-30,$-16
2016-01-31,$-13
2015-10-31,$-10
2015-07-31,$-7
2015-04-30,$-11
2015-01-31,$-5
2014-10-31,$-6
2014-07-31,$-8
2014-04-30,$-17
2014-01-31,$-11
2013-10-31,$-11
2013-07-31,$-6
2013-04-30,$-8
2013-01-31,$-12
2012-10-31,$-12
2012-07-31,$-11
2012-04-30,$-9
2012-01-31,$-7
2011-10-31,$-8
2011-07-31,$-9
2011-04-30,$-30
2011-01-31,$-12
2010-10-31,$-13
2010-07-31,$-14
2010-04-30,$-17
2010-01-31,$-15
2009-10-31,$-16
2009-07-31,$-16
2009-04-30,$-20
2009-01-31,$-21
