UNITY Biotechnology Quarterly Net Income (Millions of US $),UNITY Biotechnology Quarterly Net Income (Millions of US $).1
2024-12-31,$-8
2024-09-30,$-6
2024-06-30,$-5
2024-03-31,$-6
2023-12-31,$-4
2023-09-30,$-15
2023-06-30,$-15
2023-03-31,$-5
2022-12-31,$1
2022-09-30,$-14
2022-06-30,$-13
2022-03-31,$-19
2021-12-31,$-11
2021-09-30,$-16
2021-06-30,$-18
2021-03-31,$-16
2020-12-31,$-20
2020-09-30,$-28
2020-06-30,$-19
2020-03-31,$-28
2019-12-31,$-18
2019-09-30,$-22
2019-06-30,$-24
2019-03-31,$-19
2018-12-31,$-22
2018-09-30,$-18
2018-06-30,$-20
2018-03-31,$-16
2017-12-31,$-13
2017-09-30,$-12
2017-06-30,$-11
2017-03-31,$-9
2016-12-31,
