Movado Group Quarterly Net Income (Millions of US $),Movado Group Quarterly Net Income (Millions of US $).1
2024-10-31,$5
2024-07-31,$4
2024-04-30,$3
2024-01-31,$12
2023-10-31,$17
2023-07-31,$8
2023-04-30,$9
2023-01-31,$23
2022-10-31,$29
2022-07-31,$24
2022-04-30,$19
2022-01-31,$31
2021-10-31,$31
2021-07-31,$19
2021-04-30,$9
2021-01-31,$30
2020-10-31,$15
2020-07-31,$-7
2020-04-30,$-150
2020-01-31,$4
2019-10-31,$18
2019-07-31,$18
2019-04-30,$4
2019-01-31,$17
2018-10-31,$27
2018-07-31,$9
2018-04-30,$8
2018-01-31,$-34
2017-10-31,$17
2017-07-31,$5
2017-04-30,$-4
2017-01-31,$5
2016-10-31,$20
2016-07-31,$6
2016-04-30,$3
2016-01-31,$8
2015-10-31,$22
2015-07-31,$12
2015-04-30,$4
2015-01-31,$10
2014-10-31,$22
2014-07-31,$12
2014-04-30,$7
2014-01-31,$7
2013-10-31,$23
2013-07-31,$12
2013-04-30,$8
2013-01-31,$8
2012-10-31,$34
2012-07-31,$8
2012-04-30,$7
2012-01-31,$11
2011-10-31,$16
2011-07-31,$4
2011-04-30,$0
2011-01-31,$-31
2010-10-31,$17
2010-07-31,$-21
2010-04-30,$-12
2010-01-31,$-24
2009-10-31,$-21
2009-07-31,$-0
2009-04-30,$-10
2009-01-31,$-23
