Assertio Holdings Quarterly Net Income (Millions of US $),Assertio Holdings Quarterly Net Income (Millions of US $).1
2024-12-31,$-10
2024-09-30,$-3
2024-06-30,$-4
2024-03-31,$-5
2023-12-31,$-57
2023-09-30,$-280
2023-06-30,$8
2023-03-31,$-3
2022-12-31,$89
2022-09-30,$4
2022-06-30,$8
2022-03-31,$9
2021-12-31,$5
2021-09-30,$4
2021-06-30,$-14
2021-03-31,$5
2020-12-31,$-24
2020-09-30,$-11
2020-06-30,$-34
2020-03-31,$41
2019-12-31,$-193
2019-09-30,$3
2019-06-30,$-14
2019-03-31,$-14
2018-12-31,$-24
2018-09-30,$48
2018-06-30,$-21
2018-03-31,$34
2017-12-31,$-33
2017-09-30,$-16
2017-06-30,$-27
2017-03-31,$-27
2016-12-31,$-44
2016-09-30,$-13
2016-06-30,$-11
2016-03-31,$-21
2015-12-31,$-31
2015-09-30,$-12
2015-06-30,$-22
2015-03-31,$-12
2014-12-31,$95
2014-09-30,$6
2014-06-30,$13
2014-03-31,$18
2013-12-31,$42
2013-09-30,$7
2013-06-30,$0
2013-03-31,$-5
2012-12-31,$-4
2012-09-30,$-1
2012-06-30,$-16
2012-03-31,$-9
2011-12-31,$-14
2011-09-30,$-9
2011-06-30,$-6
2011-03-31,$99
2010-12-31,$2
2010-09-30,$2
2010-06-30,$4
2010-03-31,$-4
2009-12-31,$-4
2009-09-30,$1
2009-06-30,$-10
2009-03-31,$-10
