Smith & Wesson Brands Quarterly Net Income (Millions of US $),Smith & Wesson Brands Quarterly Net Income (Millions of US $).1
2025-01-31,$2
2024-10-31,$4
2024-07-31,$-2
2024-04-30,$26
2024-01-31,$8
2023-10-31,$2
2023-07-31,$3
2023-04-30,$13
2023-01-31,$11
2022-10-31,$10
2022-07-31,$3
2022-04-30,$36
2022-01-31,$31
2021-10-31,$51
2021-07-31,$77
2021-04-30,$89
2021-01-31,$62
2020-10-31,$52
2020-07-31,$48
2020-04-30,$-66
2020-01-31,$6
2019-10-31,$1
2019-07-31,$-2
2019-04-30,$10
2019-01-31,$-6
2018-10-31,$7
2018-07-31,$8
2018-04-30,$8
2018-01-31,$11
2017-10-31,$3
2017-07-31,$-2
2017-04-30,$28
2017-01-31,$32
2016-10-31,$32
2016-07-31,$35
2016-04-30,$36
2016-01-31,$31
2015-10-31,$12
2015-07-31,$14
2015-04-30,$22
2015-01-31,$8
2014-10-31,$5
2014-07-31,$15
2014-04-30,$25
2014-01-31,$21
2013-10-31,$17
2013-07-31,$26
2013-04-30,$25
2013-01-31,$15
2012-10-31,$21
2012-07-31,$18
2012-04-30,$12
2012-01-31,$4
2011-10-31,$-2
2011-07-31,$1
2011-04-30,$1
2011-01-31,$-53
2010-10-31,$-37
2010-07-31,$6
2010-04-30,$3
2010-01-31,$3
2009-10-31,$14
2009-07-31,$12
2009-04-30,$7
2009-01-31,$2
