Groupon Quarterly Net Income (Millions of US $),Groupon Quarterly Net Income (Millions of US $).1
2024-12-31,$-51
2024-09-30,$14
2024-06-30,$-10
2024-03-31,$-12
2023-12-31,$28
2023-09-30,$-41
2023-06-30,$-13
2023-03-31,$-29
2022-12-31,$-55
2022-09-30,$-56
2022-06-30,$-91
2022-03-31,$-35
2021-12-31,$29
2021-09-30,$78
2021-06-30,$-3
2021-03-31,$15
2020-12-31,$14
2020-09-30,$-16
2020-06-30,$-72
2020-03-31,$-214
2019-12-31,$77
2019-09-30,$-17
2019-06-30,$-40
2019-03-31,$-42
2018-12-31,$46
2018-09-30,$45
2018-06-30,$-95
2018-03-31,$-7
2017-12-31,$48
2017-09-30,$0
2017-06-30,$-9
2017-03-31,$-24
2016-12-31,$-53
2016-09-30,$-38
2016-06-30,$-55
2016-03-31,$-49
2015-12-31,$-47
2015-09-30,$-28
2015-06-30,$109
2015-03-31,$-14
2014-12-31,$9
2014-09-30,$-21
2014-06-30,$-23
2014-03-31,$-38
2013-12-31,$-81
2013-09-30,$-3
2013-06-30,$-8
2013-03-31,$-4
2012-12-31,$-81
2012-09-30,$-3
2012-06-30,$28
2012-03-31,$-12
2011-12-31,$-65
2011-09-30,$-54
2011-06-30,$-107
2011-03-31,$-146
2010-12-31,$-379
2010-09-30,$-76
2010-06-30,$-27
2010-03-31,$6
2009-12-31,
