Aurora Cannabis Quarterly Net Income (Millions of US $),Aurora Cannabis Quarterly Net Income (Millions of US $).1
2024-12-31,$23
2024-09-30,$-9
2024-06-30,$5
2024-03-31,$-15
2023-12-31,$-18
2023-09-30,$-0
2023-06-30,$-15
2022-12-31,$-48
2022-09-30,$-40
2022-03-31,$-799
2021-12-31,$-59
2021-09-30,$-9
2021-03-31,$-130
2020-12-31,$-225
2020-09-30,$-79
2020-03-31,$-102
2019-12-31,$-974
2019-09-30,$10
2019-03-31,$-119
2018-12-31,$-180
2018-09-30,$81
2018-06-30,
2018-03-31,$-15
2017-12-31,$6
2017-09-30,$3
2017-06-30,
2017-03-31,$0
2016-12-31,$-2
2016-09-30,$-4
2016-06-30,$-6
