AG Mortgage Investment Trust Quarterly Net Income (Millions of US $),AG Mortgage Investment Trust Quarterly Net Income (Millions of US $).1
2024-12-31,$9
2024-09-30,$12
2024-06-30,$-1
2024-03-31,$16
2023-12-31,$31
2023-09-30,$-7
2023-06-30,$3
2023-03-31,$8
2022-12-31,$7
2022-09-30,$-7
2022-06-30,$-53
2022-03-31,$-18
2021-12-31,$6
2021-09-30,$30
2021-06-30,$11
2021-03-31,$39
2020-12-31,$47
2020-09-30,$15
2020-06-30,$-3
2020-03-31,$-491
2019-12-31,$29
2019-09-30,$6
2019-06-30,$15
2019-03-31,$26
2018-12-31,$-42
2018-09-30,$20
2018-06-30,$5
2018-03-31,$5
2017-12-31,$21
2017-09-30,$33
2017-06-30,$30
2017-03-31,$22
2016-12-31,$-4
2016-09-30,$43
2016-06-30,$18
2016-03-31,$-6
2015-12-31,$-4
2015-09-30,$-4
2015-06-30,$-2
2015-03-31,$9
2014-12-31,$11
2014-09-30,$19
2014-06-30,$38
2014-03-31,$28
2013-12-31,$14
2013-09-30,$3
2013-06-30,$-75
2013-03-31,$13
2012-12-31,$15
2012-09-30,$60
2012-06-30,$45
2012-03-31,$11
2011-12-31,
2011-09-30,$13
2011-06-30,
