InflaRx Quarterly Net Income (Millions of US $),InflaRx Quarterly Net Income (Millions of US $).1
2024-09-30,$-19
2024-06-30,$-15
2024-03-31,$-10
2023-12-31,$-17
2023-09-30,$-8
2023-06-30,$-9
2023-03-31,$-12
2022-12-31,$-8
2022-09-30,$-8
2022-06-30,$0
2022-03-31,$-16
2021-12-31,$-15
2021-09-30,$-14
2021-06-30,$-18
2021-03-31,$-7
2020-12-31,$-11
2020-09-30,$-8
2020-06-30,$-11
2020-03-31,$-9
2019-12-31,$-15
2019-09-30,$-16
2019-06-30,$-17
2019-03-31,$-11
2018-12-31,$-12
2018-09-30,$-8
2018-06-30,$-3
2018-03-31,$-13
2017-09-30,$-5
2017-06-30,$-5
2016-12-31,
