Senseonics Holdings Quarterly Net Income (Millions of US $),Senseonics Holdings Quarterly Net Income (Millions of US $).1
2024-12-31,$-15
2024-09-30,$-24
2024-06-30,$-20
2024-03-31,$-19
2023-12-31,$-17
2023-09-30,$-24
2023-06-30,$-20
2023-03-31,$1
2022-12-31,$12
2022-09-30,$-60
2022-06-30,$104
2022-03-31,$87
2021-12-31,$84
2021-09-30,$43
2021-06-30,$-180
2021-03-31,$-250
2020-12-31,$-102
2020-09-30,$-23
2020-06-30,$-8
2020-03-31,$-43
2019-12-31,$-36
2019-09-30,$-19
2019-06-30,$-31
2019-03-31,$-29
2018-12-31,$-7
2018-09-30,$-32
2018-06-30,$-32
2018-03-31,$-22
2017-12-31,$-16
2017-09-30,$-17
2017-06-30,$-12
2017-03-31,$-13
2016-12-31,$-10
2016-09-30,$-11
2016-06-30,$-12
2016-03-31,$-11
2015-12-31,$-9
2015-09-30,$-9
2015-06-30,$-7
2015-03-31,$-6
2014-12-31,$-0
2014-09-30,$-0
2014-06-30,
