Cresud S.A.C.I.F Y A Quarterly Net Income (Millions of US $),Cresud S.A.C.I.F Y A Quarterly Net Income (Millions of US $).1
2024-09-30,$-44
2024-06-30,$136
2024-03-31,$-62
2023-12-31,$-52
2023-09-30,$135
2023-06-30,$140
2023-03-31,$40
2022-12-31,$40
2022-09-30,$26
2021-12-31,$190
2021-09-30,$21
2021-06-30,$-105
2021-03-31,$-7
2020-12-31,$-78
2020-09-30,$40
2020-06-30,$232
2020-03-31,$-83
2019-12-31,$-36
2019-09-30,$-47
2019-06-30,$-399
2019-03-31,$-64
2018-12-31,$-96
2018-09-30,$66
2018-06-30,$-12
2018-03-31,$25
2017-12-31,$251
2017-09-30,$13
2017-06-30,$32
2017-03-31,$7
2016-12-31,$91
2016-09-30,$-32
2016-06-30,$1
2016-03-31,$-11
2015-12-31,$-49
2015-09-30,$-32
2015-06-30,$67
2015-03-31,$-31
2014-12-31,$-11
2014-09-30,$-14
2014-06-30,$-47
2014-03-31,$-23
2013-12-31,$-30
2013-09-30,$-16
2013-06-30,$-20
2013-03-31,$5
2012-12-31,$15
2012-09-30,$-3
2012-06-30,$3
2012-03-31,$6
2011-12-31,$10
2011-09-30,$0
2011-06-30,$18
2011-03-31,$8
2010-12-31,$14
2010-09-30,$13
2010-06-30,$1
2010-03-31,$11
2009-12-31,$21
2009-09-30,$16
2009-06-30,$49
2009-03-31,$-2
