Cenntro Quarterly Net Income (Millions of US $),Cenntro Quarterly Net Income (Millions of US $).1
2024-09-30,$-9
2024-06-30,$-9
2024-03-31,$-9
2023-12-31,$-13
2023-09-30,$-16
2023-06-30,$-14
2023-03-31,$-11
2022-12-31,$-73
2022-09-30,$-14
2022-06-30,
2022-03-31,$-9
2018-04-30,$-0
2018-01-31,
2017-10-31,$-1
2017-07-31,$-2
2017-04-30,$-3
2017-01-31,
2016-10-31,$-2
2016-07-31,$-3
2016-04-30,$-3
2016-01-31,
2015-10-31,$-4
2015-07-31,$-3
2015-04-30,$-2
2015-01-31,
2014-10-31,$7
2014-07-31,$-29
2014-04-30,$-1
2014-01-31,
2013-10-31,$-0
2013-07-31,$-2
2013-04-30,$-1
2013-01-31,
2012-10-31,$-1
2012-07-31,$-0
2012-04-30,$-0
2012-01-31,$-0
2011-10-31,$-0
2011-07-31,$-0
2011-04-30,$-0
2011-01-31,$-0
2010-10-31,$-0
2010-07-31,
2010-04-30,$-0
2010-01-31,$-0
2009-10-31,$-0
2009-07-31,
2009-04-30,$-0
2009-01-31,$-0
