Telesat Quarterly Net Income (Millions of US $),Telesat Quarterly Net Income (Millions of US $).1
2024-09-30,$13
2024-06-30,$26
2024-03-31,$-11
2023-12-31,$7
2023-09-30,$-1
2023-06-30,$104
2023-03-31,$6
2022-12-31,$17
2022-09-30,$-45
2022-06-30,$-2
2022-03-31,$11
2021-12-31,$56
2021-09-30,$-25
2021-06-30,$21
2021-03-31,$31
2020-12-31,$90
2020-09-30,$51
2020-06-30,$74
2020-03-31,$-121
2019-12-31,$7
2019-09-30,$6
2019-06-30,$38
2019-03-31,$39
2018-12-31,$-41
2018-09-30,$46
2018-06-30,$0
2018-03-31,$4
2017-12-31,$41
2017-09-30,$25
2017-06-30,$-2
2017-03-31,$71
2016-12-31,$-12
2016-09-30,$-4
2016-06-30,$33
2016-03-31,$31
2015-12-31,$-2
2015-09-30,$-4
2015-06-30,$18
2015-03-31,$-83
2014-12-31,$-32
2014-09-30,$-32
2014-06-30,$53
2014-03-31,$-15
2013-12-31,$2
2013-09-30,$36
2013-06-30,$-8
2013-03-31,$-13
2012-12-31,$349
2012-09-30,$70
2012-06-30,$-5
2012-03-31,$8
2011-12-31,$107
2011-09-30,$-77
2011-06-30,$29
2011-03-31,$68
2010-12-31,$405
2010-09-30,$72
2010-06-30,$-20
2010-03-31,$29
2009-12-31,$60
2009-09-30,$108
2009-06-30,$74
2009-03-31,$-11
