BLACKROCK TCP CAPITAL CORP Quarterly Net Income (Millions of US $),BLACKROCK TCP CAPITAL CORP Quarterly Net Income (Millions of US $).1
2024-12-31,$-39
2024-09-30,$22
2024-06-30,$-51
2024-03-31,$5
2023-12-31,$-13
2023-09-30,$13
2023-06-30,$16
2023-03-31,$23
2022-12-31,$-48
2022-09-30,$26
2022-06-30,$-0
2022-03-31,$12
2021-12-31,$33
2021-09-30,$11
2021-06-30,$55
2021-03-31,$35
2020-12-31,$48
2020-09-30,$47
2020-06-30,$46
2020-03-31,$-69
2019-12-31,$-1
2019-09-30,$18
2019-06-30,$-11
2019-03-31,$24
2018-12-31,$-1
2018-09-30,$15
2018-06-30,$4
2018-03-31,$27
2017-12-31,$14
2017-09-30,$15
2017-06-30,$20
2017-03-31,$19
2016-12-31,$23
2016-09-30,$21
2016-06-30,$21
2016-03-31,$11
2015-12-31,$2
2015-09-30,$17
2015-06-30,$21
2015-03-31,$19
2014-12-31,$-7
2014-09-30,$11
2014-06-30,$12
2014-03-31,$18
2013-12-31,$14
2013-09-30,$13
2013-06-30,$9
2013-03-31,$13
2012-12-31,$7
2012-09-30,$10
2012-06-30,$6
2012-03-31,$3
2011-12-31,
2011-09-30,$-12
2011-06-30,$5
2010-12-31,
