NCS Multistage Holdings Quarterly Net Income (Millions of US $),NCS Multistage Holdings Quarterly Net Income (Millions of US $).1
2024-12-31,$3
2024-09-30,$4
2024-06-30,$-3
2024-03-31,$2
2023-12-31,$40
2023-09-30,$4
2023-06-30,$-32
2023-03-31,$-15
2022-12-31,$2
2022-09-30,$4
2022-06-30,$-5
2022-03-31,$-2
2021-12-31,$2
2021-09-30,$3
2021-06-30,$-6
2021-03-31,$-3
2020-12-31,$9
2020-09-30,$-6
2020-06-30,$-9
2020-03-31,$-52
2019-12-31,$-2
2019-09-30,$4
2019-06-30,$-22
2019-03-31,$-12
2018-12-31,$-203
2018-09-30,$6
2018-06-30,$-4
2018-03-31,$11
2017-12-31,$-3
2017-09-30,$3
2017-06-30,$-4
2017-03-31,$7
2016-12-31,$-1
2016-09-30,$-0
2016-06-30,$-9
2016-03-31,$-8
2015-12-31,
