Mistras Group Inc Quarterly Net Income (Millions of US $),Mistras Group Inc Quarterly Net Income (Millions of US $).1
2024-12-31,$5
2024-09-30,$6
2024-06-30,$6
2024-03-31,$1
2023-12-31,$-3
2023-09-30,$-10
2023-06-30,$0
2023-03-31,$-5
2022-12-31,$3
2022-09-30,$4
2022-06-30,$5
2022-03-31,$-5
2021-12-31,$-0
2021-09-30,$3
2021-06-30,$6
2021-03-31,$-5
2020-12-31,$0
2020-09-30,$2
2020-06-30,$-3
2020-03-31,$-99
2019-12-31,$1
2019-09-30,$3
2019-06-30,$7
2019-03-31,$-5
2018-12-31,$-1
2018-09-30,$-1
2018-06-30,$6
2018-03-31,$3
2017-12-31,$1
2017-09-30,$-7
2017-06-30,$2
2017-03-31,$2
2016-12-31,
2016-11-30,$7
2016-09-30,$7
2016-08-31,$7
2016-06-30,$3
2016-05-31,
2016-03-31,$3
2016-02-29,$4
2015-11-30,$11
2015-08-31,$7
2015-05-31,
2015-02-28,$2
2014-11-30,$10
2014-08-31,$2
2014-05-31,
2014-02-28,$1
2013-11-30,$9
2013-08-31,$6
2013-05-31,
2013-02-28,$3
2012-11-30,$9
2012-08-31,$4
2012-05-31,
2012-02-29,$3
2011-11-30,$8
2011-08-31,$3
2011-05-31,
2011-02-28,$2
2010-11-30,$6
2010-08-31,$2
2010-05-31,
2010-02-28,$1
2009-12-31,
2009-11-30,$10
2009-08-31,$1
2009-06-30,$2
2009-05-31,
2009-03-31,$-1
2009-02-28,$20
