Comtech Telecommunications Quarterly Net Income (Millions of US $),Comtech Telecommunications Quarterly Net Income (Millions of US $).1
2025-01-31,$-22
2024-10-31,$-156
2024-07-31,$-101
2024-04-30,$-1
2024-01-31,$-31
2023-10-31,$-3
2023-07-31,$-5
2023-04-30,$-9
2023-01-31,$-7
2022-10-31,$-13
2022-07-31,$-7
2022-04-30,$-2
2022-01-31,$-24
2021-10-31,$-11
2021-07-31,$7
2021-04-30,$1
2021-01-31,$4
2020-10-31,$-86
2020-07-31,$1
2020-04-30,$-4
2020-01-31,$3
2019-10-31,$6
2019-07-31,$6
2019-04-30,$8
2019-01-31,$8
2018-10-31,$3
2018-07-31,$7
2018-04-30,$8
2018-01-31,$16
2017-10-31,$-2
2017-07-31,$7
2017-04-30,$4
2017-01-31,$7
2016-10-31,$-2
2016-07-31,$3
2016-04-30,$-14
2016-01-31,$2
2015-10-31,$1
2015-07-31,$5
2015-04-30,$5
2015-01-31,$8
2014-10-31,$5
2014-07-31,$8
2014-04-30,$6
2014-01-31,$6
2013-10-31,$5
2013-07-31,$5
2013-04-30,$3
2013-01-31,$2
2012-10-31,$7
2012-07-31,$8
2012-04-30,$6
2012-01-31,$6
2011-10-31,$13
2011-07-31,$12
2011-04-30,$14
2011-01-31,$16
2010-10-31,$26
2010-07-31,$13
2010-04-30,$22
2010-01-31,$16
2009-10-31,$9
2009-07-31,$6
2009-04-30,$8
2009-01-31,$12
