ATyr Pharma Quarterly Net Income (Millions of US $),ATyr Pharma Quarterly Net Income (Millions of US $).1
2024-12-31,$-15
2024-09-30,$-17
2024-06-30,$-16
2024-03-31,$-15
2023-12-31,$-15
2023-09-30,$-11
2023-06-30,$-12
2023-03-31,$-12
2022-12-31,$-8
2022-09-30,$-13
2022-06-30,$-12
2022-03-31,$-12
2021-12-31,$-9
2021-09-30,$-8
2021-06-30,$-10
2021-03-31,$-7
2020-12-31,$-5
2020-09-30,$-7
2020-06-30,$-6
2020-03-31,$2
2019-12-31,$-6
2019-09-30,$-6
2019-06-30,$-6
2019-03-31,$-6
2018-12-31,$-6
2018-09-30,$-7
2018-06-30,$-10
2018-03-31,$-11
2017-12-31,$-11
2017-09-30,$-11
2017-06-30,$-12
2017-03-31,$-13
2016-12-31,$-13
2016-09-30,$-14
2016-06-30,$-15
2016-03-31,$-16
2015-12-31,$-16
2015-09-30,$-11
2015-06-30,$-11
2015-03-31,$-9
2014-12-31,$-6
2014-09-30,$-7
2014-06-30,$-6
2014-03-31,$-6
2013-12-31,
