Teekay Quarterly Net Income (Millions of US $),Teekay Quarterly Net Income (Millions of US $).1
2024-09-30,$20
2024-06-30,$34
2024-03-31,$55
2023-12-31,$35
2023-09-30,$26
2023-06-30,$40
2023-03-31,$49
2022-12-31,$39
2022-09-30,$33
2022-06-30,$5
2022-03-31,$1
2021-12-31,$-17
2021-09-30,$-3
2021-06-30,$-2
2021-03-31,$30
2020-12-31,$-19
2020-09-30,$-35
2020-06-30,$22
2020-03-31,$-50
2019-12-31,$11
2019-09-30,$-198
2019-06-30,$-39
2019-03-31,$-84
2018-12-31,$-18
2018-09-30,$-12
2018-06-30,$-28
2018-03-31,$-21
2017-12-31,$-25
2017-09-30,$-13
2017-06-30,$-80
2017-03-31,$-45
2016-12-31,$-3
2016-09-30,$6
2016-06-30,$-83
2016-03-31,$-49
2015-12-31,$38
2015-09-30,$-12
2015-06-30,$66
2015-03-31,$-10
2014-12-31,$-14
2014-09-30,$2
2014-06-30,$-43
2014-03-31,$-0
2013-12-31,$-71
2013-09-30,$-49
2013-06-30,$11
2013-03-31,$-6
2012-12-31,$-94
2012-09-30,$-20
2012-06-30,$-47
2012-03-31,$1
2011-12-31,$59
2011-09-30,$-291
2011-06-30,$-96
2011-03-31,$-30
2010-12-31,$86
2010-09-30,$-186
2010-06-30,$-153
2010-03-31,$-14
2009-12-31,$30
2009-09-30,$-142
2009-06-30,$159
2009-03-31,$82
