Janus Henderson Sustainable & Impact Core Bond ETF Quarterly Net Income (Millions of US $),Janus Henderson Sustainable & Impact Core Bond ETF Quarterly Net Income (Millions of US $).1
2024-12-31,$34
2024-09-30,$22
2024-06-30,$-122
2024-03-31,$25
2023-12-31,$39
2023-09-30,$22
2023-06-30,$29
2023-03-31,$27
2022-12-31,$53
2022-09-30,$46
2022-06-30,$23
2022-03-31,$8
2021-12-31,$39
2021-09-30,$39
2021-06-30,$40
2021-03-31,$36
2020-12-31,$51
2020-09-30,$38
2020-06-30,$33
2020-03-31,$11
2019-12-31,$8
2019-09-30,$22
2019-06-30,$13
2019-03-31,$25
2018-12-31,$34
2018-09-30,$16
2018-06-30,$45
2018-03-31,$48
2017-12-31,$12
2017-09-30,$30
2017-06-30,$36
2017-03-31,$33
2016-12-31,$36
2016-09-30,$32
2016-06-30,$30
2016-03-31,$29
2015-12-31,$33
2015-09-30,$23
2015-06-30,$27
2015-03-31,$23
2014-12-31,$36
2014-09-30,$16
2014-06-30,$25
2014-03-31,$16
2013-12-31,$32
2013-09-30,$23
2013-06-30,$-6
2013-03-31,$13
2012-12-31,$21
2012-09-30,$12
2012-06-30,$12
2012-03-31,$22
2011-12-31,$12
2011-09-30,$23
2011-06-30,$19
2011-03-31,$7
2010-12-31,$32
2010-09-30,$4
2010-06-30,$24
2010-03-31,$18
2009-12-31,$24
2009-09-30,$41
2009-06-30,$20
2009-03-31,$30
