WideOpenWest Quarterly Net Income (Millions of US $),WideOpenWest Quarterly Net Income (Millions of US $).1
2024-12-31,$-11
2024-09-30,$-22
2024-06-30,$-11
2024-03-31,$-15
2023-12-31,$-44
2023-09-30,$-105
2023-06-30,$-102
2023-03-31,$-38
2022-12-31,$-13
2022-09-30,$1
2022-06-30,$4
2022-03-31,$6
2021-12-31,$231
2021-09-30,$518
2021-06-30,$12
2021-03-31,$10
2020-12-31,$3
2020-09-30,$9
2020-06-30,$2
2020-03-31,$0
2019-12-31,$7
2019-09-30,$11
2019-06-30,$10
2019-03-31,$8
2018-12-31,$20
2018-09-30,$31
2018-06-30,$25
2018-03-31,$-162
2017-12-31,$110
2017-09-30,$-2
2017-06-30,$5
2017-03-31,$72
2016-12-31,
2016-09-30,$-20
2016-06-30,$14
2015-12-31,
2014-12-31,
