WW Quarterly Net Income (Millions of US $),WW Quarterly Net Income (Millions of US $).1
2024-12-31,$25
2024-09-30,$-46
2024-06-30,$23
2024-03-31,$-348
2023-12-31,$-88
2023-09-30,$44
2023-06-30,$51
2023-03-31,$-119
2022-12-31,$-38
2022-09-30,$-206
2022-06-30,$-5
2022-03-31,$-8
2021-12-31,$30
2021-09-30,$46
2021-06-30,$9
2021-03-31,$-18
2020-12-31,$13
2020-09-30,$55
2020-06-30,$14
2020-03-31,$-6
2019-12-31,$29
2019-09-30,$47
2019-06-30,$54
2019-03-31,$-11
2018-12-31,$44
2018-09-30,$70
2018-06-30,$71
2018-03-31,$39
2017-12-31,$63
2017-09-30,$45
2017-06-30,$45
2017-03-31,$11
2016-12-31,$13
2016-09-30,$35
2016-06-30,$30
2016-03-31,$-11
2015-12-31,$-11
2015-09-30,$22
2015-06-30,$28
2015-03-31,$-5
2014-12-31,$4
2014-09-30,$38
2014-06-30,$54
2014-03-31,$22
2013-12-31,$29
2013-09-30,$60
2013-06-30,$65
2013-03-31,$49
2012-12-31,$58
2012-09-30,$67
2012-06-30,$77
2012-03-31,$55
2011-12-31,$64
2011-09-30,$81
2011-06-30,$87
2011-03-31,$74
2010-12-31,$49
2010-09-30,$44
2010-06-30,$56
2010-03-31,$45
2009-12-31,$19
2009-09-30,$53
2009-06-30,$59
2009-03-31,$47
