Regis Quarterly Net Income (Millions of US $),Regis Quarterly Net Income (Millions of US $).1
2024-12-31,$8
2024-09-30,$-1
2024-06-30,$91
2024-03-31,$-2
2023-12-31,$1
2023-09-30,$1
2023-06-30,$-5
2023-03-31,$-2
2022-12-31,$-2
2022-09-30,$1
2022-06-30,$-43
2022-03-31,$-28
2021-12-31,$-5
2021-09-30,$-10
2021-06-30,$-34
2021-03-31,$-11
2020-12-31,$-33
2020-09-30,$-35
2020-06-30,$-74
2020-03-31,$-68
2019-12-31,$-16
2019-09-30,$-14
2019-06-30,$-5
2019-03-31,$-15
2018-12-31,$7
2018-09-30,$-1
2018-06-30,$3
2018-03-31,$-7
2017-12-31,$35
2017-09-30,$-25
2017-06-30,$-1
2017-03-31,$-18
2016-12-31,$-2
2016-09-30,$3
2016-06-30,$6
2016-03-31,$-2
2015-12-31,$-14
2015-09-30,$-1
2015-06-30,$-3
2015-03-31,$-5
2014-12-31,$-17
2014-09-30,$-10
2014-06-30,$-20
2014-03-31,$-9
2013-12-31,$-109
2013-09-30,$-0
2013-06-30,$2
2013-03-31,$2
2012-12-31,$-12
2012-09-30,$38
2012-06-30,$-64
2012-03-31,$-1
2011-12-31,$-57
2011-09-30,$8
2011-06-30,$-16
2011-03-31,$-25
2010-12-31,$15
2010-09-30,$18
2010-06-30,$18
2010-03-31,$-2
2009-12-31,$18
2009-09-30,$8
2009-06-30,$-5
2009-03-31,$9
