Rent The Runway Quarterly Net Income (Millions of US $),Rent The Runway Quarterly Net Income (Millions of US $).1
2024-10-31,$-19
2024-07-31,$-16
2024-04-30,$-22
2024-01-31,$-25
2023-10-31,$-32
2023-07-31,$-27
2023-04-30,$-30
2023-01-31,$-26
2022-10-31,$-36
2022-07-31,$-34
2022-04-30,$-43
2022-01-31,$-39
2021-10-31,$-88
2021-07-31,$-42
2021-04-30,$-42
2021-01-31,
2020-10-31,$-44
2020-01-31,
