TCTM Kids IT Education Quarterly Net Income (Millions of US $),TCTM Kids IT Education Quarterly Net Income (Millions of US $).1
2024-06-30,
2023-06-30,$1
2023-03-31,$-7
2022-12-31,$-3
2022-09-30,$4
2022-06-30,$7
2022-03-31,$4
2021-12-31,$-29
2021-09-30,$-14
2021-06-30,$-12
2021-03-31,$-18
2020-09-30,$-9
2018-12-31,$-22
2018-09-30,$-13
2018-06-30,$-26
2018-03-31,$-28
2017-12-31,$11
2017-09-30,$15
2017-06-30,$6
2017-03-31,$-4
2016-12-31,$16
2016-09-30,$18
2016-06-30,$7
2016-03-31,$-4
2015-12-31,$14
2015-09-30,$14
2015-06-30,$3
2015-03-31,$-2
2014-12-31,$8
2014-09-30,$10
2014-06-30,$6
2014-03-31,$1
2013-12-31,$6
2013-09-30,$6
2013-06-30,$2
2013-03-31,$0
