Compass Therapeutics Quarterly Net Income (Millions of US $),Compass Therapeutics Quarterly Net Income (Millions of US $).1
2024-12-31,$-15
2024-09-30,$-10
2024-06-30,$-13
2024-03-31,$-11
2023-12-31,$-13
2023-09-30,$-10
2023-06-30,$-11
2023-03-31,$-8
2022-12-31,$-12
2022-09-30,$-12
2022-06-30,$-8
2022-03-31,$-7
2021-12-31,$-13
2021-09-30,$-6
2021-06-30,$-56
2021-03-31,$-7
2020-12-31,$-8
2020-09-30,$-9
2020-06-30,$-6
2020-03-31,$-6
2019-12-31,$-0
2019-09-30,$-9
2019-06-30,$-9
2019-03-31,
2018-12-31,$-0
2018-09-30,$-0
2018-06-30,$-0
2018-03-31,
