SecureWorks Quarterly Net Income (Millions of US $),SecureWorks Quarterly Net Income (Millions of US $).1
2024-07-31,$-15
2024-04-30,$-36
2024-01-31,$-8
2023-10-31,$-14
2023-07-31,$-32
2023-04-30,$-31
2023-01-31,$-40
2022-10-31,$-28
2022-07-31,$-25
2022-04-30,$-22
2022-01-31,$-9
2021-10-31,$-13
2021-07-31,$-12
2021-04-30,$-6
2021-01-31,$-10
2020-10-31,$-4
2020-07-31,$-1
2020-04-30,$-8
2020-01-31,$-5
2019-10-31,$-8
2019-07-31,$-10
2019-04-30,$-8
2019-01-31,$-12
2018-10-31,$-4
2018-07-31,$-10
2018-04-30,$-14
2018-01-31,$23
2017-10-31,$-9
2017-07-31,$-10
2017-04-30,$-13
2017-01-31,$-0
2016-10-31,$-8
2016-07-31,$-12
2016-04-30,$-12
2016-01-31,$-15
2015-10-31,$-19
2015-07-31,$-21
2015-04-30,$-18
2015-01-31,
2014-01-31,
