South Plains Financial Quarterly Net Income (Millions of US $),South Plains Financial Quarterly Net Income (Millions of US $).1
2024-12-31,$16
2024-09-30,$11
2024-06-30,$11
2024-03-31,$11
2023-12-31,$10
2023-09-30,$13
2023-06-30,$30
2023-03-31,$9
2022-12-31,$13
2022-09-30,$15
2022-06-30,$16
2022-03-31,$14
2021-12-31,$15
2021-09-30,$15
2021-06-30,$14
2021-03-31,$15
2020-12-31,$16
2020-09-30,$17
2020-06-30,$6
2020-03-31,$7
2019-12-31,$10
2019-09-30,$8
2019-06-30,$6
2019-03-31,$5
2018-12-31,$6
2018-09-30,$5
2018-06-30,$13
2018-03-31,$6
2017-12-31,
2011-06-30,
2011-03-31,
2010-12-31,
2010-09-30,
2010-06-30,
2010-03-31,
2009-12-31,
2009-09-30,
2009-06-30,
2009-03-31,
