NACCO Industries Quarterly Net Income (Millions of US $),NACCO Industries Quarterly Net Income (Millions of US $).1
2024-12-31,$8
2024-09-30,$16
2024-06-30,$6
2024-03-31,$5
2023-12-31,$-44
2023-09-30,$-4
2023-06-30,$3
2023-03-31,$6
2022-12-31,$14
2022-09-30,$11
2022-06-30,$37
2022-03-31,$13
2021-12-31,$8
2021-09-30,$25
2021-06-30,$7
2021-03-31,$9
2020-12-31,$-5
2020-09-30,$8
2020-06-30,$6
2020-03-31,$6
2019-12-31,$6
2019-09-30,$10
2019-06-30,$8
2019-03-31,$15
2018-12-31,$11
2018-09-30,$9
2018-06-30,$6
2018-03-31,$8
2017-12-31,$10
2017-09-30,$8
2017-06-30,$7
2017-03-31,$5
2016-12-31,$24
2016-09-30,$-0
2016-06-30,$3
2016-03-31,$3
2015-12-31,$18
2015-09-30,$3
2015-06-30,$-0
2015-03-31,$1
2014-12-31,$-41
2014-09-30,$8
2014-06-30,$-4
2014-03-31,$-2
2013-12-31,$23
2013-09-30,$12
2013-06-30,$5
2013-03-31,$4
2012-12-31,$24
2012-09-30,$38
2012-06-30,$22
2012-03-31,$25
2011-12-31,$54
2011-09-30,$26
2011-06-30,$19
2011-03-31,$63
2010-12-31,$38
2010-09-30,$14
2010-06-30,$16
2010-03-31,$12
2009-12-31,$21
2009-09-30,$-4
2009-06-30,$2
2009-03-31,$-9
