Liquidia Technologies Quarterly Net Income (Millions of US $),Liquidia Technologies Quarterly Net Income (Millions of US $).1
2024-12-31,$-38
2024-09-30,$-23
2024-06-30,$-28
2024-03-31,$-41
2023-12-31,$-27
2023-09-30,$-16
2023-06-30,$-24
2023-03-31,$-12
2022-12-31,$-7
2022-09-30,$-9
2022-06-30,$-9
2022-03-31,$-16
2021-12-31,$-12
2021-09-30,$-7
2021-06-30,$-7
2021-03-31,$-9
2020-12-31,$-16
2020-09-30,$-15
2020-06-30,$-14
2020-03-31,$-15
2019-12-31,$-14
2019-09-30,$-13
2019-06-30,$-6
2019-03-31,$-14
2018-12-31,$-10
2018-09-30,$-10
2018-06-30,$-6
2018-03-31,$-28
2017-12-31,
2017-09-30,$-19
2017-06-30,$-8
