Liberty Global Quarterly Net Income (Millions of US $),Liberty Global Quarterly Net Income (Millions of US $).1
2024-09-30,$-436
2024-06-30,$-43
2024-03-31,$-1
2023-12-31,$-103
2023-09-30,$60
2023-06-30,$35
2023-03-31,$-66
2022-12-31,$148
2022-09-30,$76
2022-06-30,$-475
2022-03-31,$81
2021-12-31,$-611
2021-09-30,$76
2021-06-30,$13
2021-03-31,$89
2020-12-31,$-29
2020-09-30,$-85
2020-06-30,$-393
2020-03-31,$-181
2019-12-31,$42
2019-09-30,$35
2019-06-30,$-116
2019-03-31,$-42
2018-12-31,$-233
2018-09-30,$-26
2018-06-30,$-42
2018-03-31,$-45
2017-09-30,$-331
2017-06-30,$-38
2017-03-31,$-27
2016-12-31,$-13
2016-09-30,$-82
2016-06-30,$-103
2016-03-31,$-39
2015-12-31,$-13
2015-09-30,$30
