Ennis Quarterly Net Income (Millions of US $),Ennis Quarterly Net Income (Millions of US $).1
2024-11-30,$10
2024-08-31,$10
2024-05-31,$11
2024-02-29,$10
2023-11-30,$10
2023-08-31,$11
2023-05-31,$12
2023-02-28,$12
2022-11-30,$11
2022-08-31,$12
2022-05-31,$12
2022-02-28,$7
2021-11-30,$8
2021-08-31,$7
2021-05-31,$7
2021-02-28,$5
2020-11-30,$8
2020-08-31,$6
2020-05-31,$4
2020-02-29,$9
2019-11-30,$11
2019-08-31,$10
2019-05-31,$10
2019-02-28,$8
2018-11-30,$10
2018-08-31,$10
2018-05-31,$9
2018-02-28,$8
2017-11-30,$8
2017-08-31,$9
2017-05-31,$8
2017-02-28,$6
2016-11-30,$6
2016-08-31,$7
2016-05-31,$-17
2016-02-29,$5
2015-11-30,$11
2015-08-31,$11
2015-05-31,$9
2015-02-28,$9
2014-11-30,$-71
2014-08-31,$10
2014-05-31,$8
2014-02-28,$-14
2013-11-30,$9
2013-08-31,$10
2013-05-31,$9
2013-02-28,$7
2012-11-30,$6
2012-08-31,$8
2012-05-31,$4
2012-02-29,$3
2011-11-30,$7
2011-08-31,$10
2011-05-31,$11
2011-02-28,$10
2010-11-30,$10
2010-08-31,$12
2010-05-31,$13
2010-02-28,$10
2009-11-30,$9
2009-08-31,$10
2009-05-31,$7
2009-02-28,$-63
