ATI Physical Therapy Quarterly Net Income (Millions of US $),ATI Physical Therapy Quarterly Net Income (Millions of US $).1
2024-12-31,$-13
2024-09-30,$-41
2024-06-30,$-11
2024-03-31,$-19
2023-12-31,$-9
2023-09-30,$-18
2023-06-30,$-73
2023-03-31,$-32
2022-12-31,$-110
2022-09-30,$-122
2022-06-30,$-141
2022-03-31,$-138
2021-12-31,$1
2021-09-30,$-325
2021-06-30,$-435
2021-03-31,$-19
2020-12-31,
2020-09-30,$0
2020-06-30,$3
2019-12-31,
