Fossil Quarterly Net Income (Millions of US $),Fossil Quarterly Net Income (Millions of US $).1
2024-12-31,$-8
2024-09-30,$-32
2024-06-30,$-39
2024-03-31,$-24
2023-12-31,$-28
2023-09-30,$-61
2023-06-30,$-27
2023-03-31,$-41
2022-12-31,$-9
2022-09-30,$6
2022-06-30,$-19
2022-03-31,$-22
2021-12-31,$20
2021-09-30,$31
2021-06-30,$-1
2021-03-31,$-24
2020-12-31,$-4
2020-09-30,$16
2020-06-30,$-23
2020-03-31,$-86
2019-12-31,$-7
2019-09-30,$-26
2019-06-30,$-7
2019-03-31,$-12
2018-12-31,$48
2018-09-30,$5
2018-06-30,$-8
2018-03-31,$-48
2017-12-31,$-80
2017-09-30,$-5
2017-06-30,$-345
2017-03-31,$-48
2016-12-31,$50
2016-09-30,$17
2016-06-30,$6
2016-03-31,$6
2015-12-31,$70
2015-09-30,$58
2015-06-30,$55
2015-03-31,$38
2014-12-31,$154
2014-09-30,$104
2014-06-30,$53
2014-03-31,$66
2013-12-31,$149
2013-09-30,$90
2013-06-30,$68
2013-03-31,$72
2012-12-31,$151
2012-09-30,$77
2012-06-30,$57
2012-03-31,$58
2011-12-31,$118
2011-09-30,$70
2011-06-30,$51
2011-03-31,$56
2010-12-31,$97
2010-09-30,$68
2010-06-30,$54
2010-03-31,$36
2009-12-31,$70
2009-09-30,$35
2009-06-30,$17
2009-03-31,$17
