Virco Manufacturing Quarterly Net Income (Millions of US $),Virco Manufacturing Quarterly Net Income (Millions of US $).1
2024-10-31,$8
2024-07-31,$17
2024-04-30,$2
2024-01-31,$-2
2023-10-31,$10
2023-07-31,$16
2023-04-30,$-1
2023-01-31,$4
2022-10-31,$8
2022-07-31,$10
2022-04-30,$-5
2022-01-31,$-16
2021-10-31,$1
2021-07-31,$4
2021-04-30,$-4
2021-01-31,$-6
2020-10-31,$4
2020-07-31,$4
2020-04-30,$-5
2020-01-31,$-4
2019-10-31,$4
2019-07-31,$6
2019-04-30,$-3
2019-01-31,$-6
2018-10-31,$3
2018-07-31,$5
2018-04-30,$-4
2018-01-31,$-9
2017-10-31,$3
2017-07-31,$5
2017-04-30,$-2
2017-01-31,$-5
2016-10-31,$24
2016-07-31,$7
2016-04-30,$-3
2016-01-31,$-6
2015-10-31,$6
2015-07-31,$7
2015-04-30,$-3
2015-01-31,$-5
2014-10-31,$5
2014-07-31,$5
2014-04-30,$-4
2014-01-31,$-7
2013-10-31,$3
2013-07-31,$6
2013-04-30,$-4
2013-01-31,$-9
2012-10-31,$3
2012-07-31,$7
2012-04-30,$-5
2012-01-31,$-8
2011-10-31,$-3
2011-07-31,$3
2011-04-30,$-5
2011-01-31,$-17
2010-10-31,$0
2010-07-31,$4
2010-04-30,$-5
2010-01-31,$-4
2009-10-31,$3
2009-07-31,$4
2009-04-30,$-3
2009-01-31,$-3
