Arcturus Therapeutics Holdings Quarterly Net Income (Millions of US $),Arcturus Therapeutics Holdings Quarterly Net Income (Millions of US $).1
2024-12-31,$-30
2024-09-30,$-7
2024-06-30,$-17
2024-03-31,$-27
2023-12-31,$-12
2023-09-30,$-16
2023-06-30,$-53
2023-03-31,$51
2022-12-31,$117
2022-09-30,$-35
2022-06-30,$-22
2022-03-31,$-51
2021-12-31,$-39
2021-09-30,$-54
2021-06-30,$-55
2021-03-31,$-56
2020-12-31,$-31
2020-09-30,$-21
2020-06-30,$-10
2020-03-31,$-10
2019-12-31,$-11
2019-09-30,$-7
2019-06-30,$-1
2019-03-31,$-7
2018-12-31,$-1
2018-09-30,$-4
2018-06-30,$-10
2018-03-31,$-7
2017-12-31,$-3
2017-09-30,$-3
2017-06-30,$-1
2017-03-31,$-4
2016-12-31,$17
2016-09-30,$-8
2016-06-30,$-6
2016-03-31,$-5
2015-12-31,$-5
2015-09-30,$-4
2015-06-30,$-5
2015-03-31,$-5
2014-12-31,$-7
2014-09-30,$-10
2014-06-30,$-8
2014-03-31,$-8
2013-12-31,$-6
2013-09-30,$-3
2013-06-30,$-1
2013-03-31,$-0
2012-12-31,
2012-09-30,$-0
2012-06-30,$-0
2011-12-31,
