SKYX Platforms Quarterly Net Income (Millions of US $),SKYX Platforms Quarterly Net Income (Millions of US $).1
2024-09-30,$-9
2024-06-30,$-7
2024-03-31,$-10
2023-12-31,$-12
2023-09-30,$-7
2023-06-30,$-12
2023-03-31,$-8
2022-12-31,$-5
2022-09-30,$-6
2022-06-30,$-5
2022-03-31,$-17
2021-12-31,$-2
2021-09-30,$-2
2021-06-30,$-1
2021-03-31,$-1
2018-09-30,$-4
2018-06-30,$-4
2018-03-31,$-2
2017-12-31,$-5
2017-09-30,$-2
2017-06-30,$-2
2017-03-31,$-17
2016-12-31,$-26
2016-09-30,$-29
2016-06-30,$-44
2016-03-31,$0
2015-12-31,$-14
2015-09-30,$-10
2015-06-30,$-1
2015-03-31,$-1
2014-12-31,$-4
2014-09-30,$-1
2014-06-30,$-2
2014-03-31,$-1
2013-12-31,
2013-09-30,$-0
