Tectonic Therapeutic Quarterly Net Income (Millions of US $),Tectonic Therapeutic Quarterly Net Income (Millions of US $).1
2024-09-30,$-18
2024-06-30,$-13
2024-03-31,$-7
2023-12-31,$58
2023-09-30,$-10
2023-06-30,$-10
2023-03-31,$-25
2022-12-31,$-25
2022-09-30,$-23
2022-06-30,$-28
2022-03-31,$-30
2021-12-31,$-28
2021-09-30,$-33
2021-06-30,$-31
2021-03-31,$-27
2020-12-31,$-28
2020-09-30,$-37
2020-06-30,$-29
2020-03-31,$-26
2019-12-31,$-23
2019-09-30,$-17
2019-06-30,$-16
2019-03-31,$-17
2018-12-31,$-16
2018-09-30,$-12
2018-06-30,$-11
2018-03-31,$-10
2017-12-31,
2017-09-30,$-6
2017-06-30,$-3
2016-12-31,
