SandRidge Energy Quarterly Net Income (Millions of US $),SandRidge Energy Quarterly Net Income (Millions of US $).1
2024-12-31,$18
2024-09-30,$25
2024-06-30,$9
2024-03-31,$11
2023-12-31,$2
2023-09-30,$19
2023-06-30,$17
2023-03-31,$24
2022-12-31,$105
2022-09-30,$54
2022-06-30,$48
2022-03-31,$35
2021-12-31,$37
2021-09-30,$29
2021-06-30,$16
2021-03-31,$35
2020-12-31,$-0
2020-09-30,$-49
2020-06-30,$-216
2020-03-31,$-13
2019-12-31,$-249
2019-09-30,$-182
2019-06-30,$-13
2019-03-31,$-5
2018-12-31,$54
2018-09-30,$12
2018-06-30,$-34
2018-03-31,$-41
2017-12-31,$-19
2017-09-30,$-8
2017-06-30,$23
2017-03-31,$51
2016-12-31,"$2,340"
2016-09-30,$-404
2016-06-30,$-521
2016-03-31,$-324
2015-12-31,$-665
2015-09-30,$-650
2015-06-30,"$-1,376"
2015-03-31,"$-1,046"
2014-12-31,$254
2014-09-30,$146
2014-06-30,$-47
2014-03-31,$-150
2013-12-31,$29
2013-09-30,$-95
2013-06-30,$-42
2013-03-31,$-501
2012-12-31,$-302
2012-09-30,$-184
2012-06-30,$804
2012-03-31,$-232
2011-12-31,$-389
2011-09-30,$561
2011-06-30,$196
2011-03-31,$-316
2010-12-31,$-208
2010-09-30,$298
2010-06-30,$45
2010-03-31,$19
2009-12-31,$-434
2009-09-30,$-104
2009-06-30,$-91
2009-03-31,"$-1,155"
