Nine Energy Service Quarterly Net Income (Millions of US $),Nine Energy Service Quarterly Net Income (Millions of US $).1
2024-12-31,$-9
2024-09-30,$-10
2024-06-30,$-14
2024-03-31,$-8
2023-12-31,$-10
2023-09-30,$-13
2023-06-30,$-3
2023-03-31,$-6
2022-12-31,$8
2022-09-30,$14
2022-06-30,$-1
2022-03-31,$-7
2021-12-31,$-16
2021-09-30,$-16
2021-06-30,$-25
2021-03-31,$-8
2020-12-31,$-35
2020-09-30,$-19
2020-06-30,$-24
2020-03-31,$-301
2019-12-31,$-221
2019-09-30,$-21
2019-06-30,$6
2019-03-31,$17
2018-12-31,$-77
2018-09-30,$14
2018-06-30,$9
2018-03-31,$2
2017-12-31,$-30
2017-09-30,$-5
2017-06-30,$-12
2017-03-31,$-21
2016-12-31,
2015-12-31,
