"CVR Partners, LP Quarterly Net Income (Millions of US $)","CVR Partners, LP Quarterly Net Income (Millions of US $).1"
2024-12-31,$18
2024-09-30,$4
2024-06-30,$26
2024-03-31,$13
2023-12-31,$10
2023-09-30,$1
2023-06-30,$60
2023-03-31,$102
2022-12-31,$95
2022-09-30,$-20
2022-06-30,$118
2022-03-31,$94
2021-12-31,$61
2021-09-30,$35
2021-06-30,$7
2021-03-31,$-25
2020-12-31,$-17
2020-09-30,$-19
2020-06-30,$-42
2020-03-31,$-21
2019-12-31,$-25
2019-09-30,$-23
2019-06-30,$19
2019-03-31,$-6
2018-12-31,$-1
2018-09-30,$-13
2018-06-30,$-16
2018-03-31,$-19
2017-12-31,$-27
2017-09-30,$-32
2017-06-30,$-3
2017-03-31,$-10
2016-12-31,$-15
2016-09-30,$-13
2016-06-30,$-17
2016-03-31,$18
2015-12-31,$19
2015-09-30,$-13
2015-06-30,$27
2015-03-31,$30
2014-12-31,$25
2014-09-30,$13
2014-06-30,$17
2014-03-31,$21
2013-12-31,$28
2013-09-30,$20
2013-06-30,$35
2013-03-31,$36
2012-12-31,$15
2012-09-30,$32
2012-06-30,$35
2012-03-31,$30
2011-12-31,$41
2011-09-30,$36
2011-06-30,$38
2011-03-31,$17
2010-12-31,$-6
2010-09-30,$14
2010-06-30,$20
2010-03-31,$6
2009-12-31,
