Cerence Quarterly Net Income (Millions of US $),Cerence Quarterly Net Income (Millions of US $).1
2024-12-31,$-24
2024-09-30,$-20
2024-06-30,$-314
2024-03-31,$-278
2023-12-31,$24
2023-09-30,$-12
2023-06-30,$-16
2023-03-31,$-26
2022-12-31,$-2
2022-09-30,$-230
2022-06-30,$-99
2022-03-31,$-0
2021-12-31,$19
2021-09-30,$8
2021-06-30,$6
2021-03-31,$11
2020-12-31,$21
2020-09-30,$9
2020-06-30,$-28
2020-03-31,$13
2019-12-31,$-12
2019-09-30,$96
2019-06-30,$2
2019-03-31,$0
2018-12-31,$2
2018-09-30,
2017-09-30,
