Scholastic Quarterly Net Income (Millions of US $),Scholastic Quarterly Net Income (Millions of US $).1
2024-11-30,$49
2024-08-31,$-63
2024-05-31,$36
2024-02-29,$-27
2023-11-30,$77
2023-08-31,$-74
2023-05-31,$76
2023-02-28,$-19
2022-11-30,$75
2022-08-31,$-46
2022-05-31,$52
2022-02-28,$-15
2021-11-30,$68
2021-08-31,$-24
2021-05-31,$8
2021-02-28,$-14
2020-11-30,$35
2020-08-31,$-40
2020-05-31,$-13
2020-02-29,$-43
2019-11-30,$71
2019-08-31,$-59
2019-05-31,$18
2019-02-28,$-13
2018-11-30,$72
2018-08-31,$-61
2018-05-31,$51
2018-02-28,$-49
2017-11-30,$57
2017-08-31,$-64
2017-05-31,$39
2017-02-28,$-15
2016-11-30,$68
2016-08-31,$-40
2016-05-31,$34
2016-02-29,$-9
2015-11-30,$65
2015-08-31,$-49
2015-05-31,$282
2015-02-28,$-22
2014-11-30,$69
2014-08-31,$-34
2014-05-31,$28
2014-02-28,$-12
2013-11-30,$58
2013-08-31,$-30
2013-05-31,$22
2013-02-28,$-20
2012-11-30,$62
2012-08-31,$-32
2012-05-31,$57
2012-02-29,$-10
2011-11-30,$83
2011-08-31,$-27
2011-05-31,$25
2011-02-28,$-25
2010-11-30,$75
2010-08-31,$-35
2010-05-31,$29
2010-02-28,$-6
2009-11-30,$56
2009-08-31,$-23
2009-05-31,$28
2009-02-28,$-36
