Immunic Quarterly Net Income (Millions of US $),Immunic Quarterly Net Income (Millions of US $).1
2024-09-30,$-24
2024-06-30,$-21
2024-03-31,$-30
2023-12-31,$-22
2023-09-30,$-23
2023-06-30,$-24
2023-03-31,$-25
2022-12-31,$-56
2022-09-30,$-21
2022-06-30,$-22
2022-03-31,$-21
2021-12-31,$-21
2021-09-30,$-19
2021-06-30,$-18
2021-03-31,$-35
2020-12-31,$-11
2020-09-30,$-13
2020-06-30,$-11
2020-03-31,$-8
2019-12-31,$-8
2019-09-30,$-8
2019-06-30,$-15
2019-03-31,$-4
2018-12-31,$7
2018-09-30,$-2
2018-06-30,$-3
2018-03-31,$-14
2017-12-31,$-15
2017-09-30,$-12
2017-06-30,$-12
2017-03-31,$-13
2016-12-31,$-12
2016-09-30,$-10
2016-06-30,$-9
2016-03-31,$-10
2015-12-31,$-10
2015-09-30,$-12
2015-06-30,$-15
2015-03-31,$-15
2014-12-31,$-14
2014-09-30,$-13
2014-06-30,$-16
2014-03-31,$-14
2013-12-31,$-10
2013-09-30,$-9
2013-06-30,$-7
2013-03-31,$-10
2012-12-31,
