Sleep Number Quarterly Net Income (Millions of US $),Sleep Number Quarterly Net Income (Millions of US $).1
2024-12-31,$-5
2024-09-30,$-3
2024-06-30,$-5
2024-03-31,$-7
2023-12-31,$-25
2023-09-30,$-2
2023-06-30,$1
2023-03-31,$11
2022-12-31,$-5
2022-09-30,$5
2022-06-30,$35
2022-03-31,$2
2021-12-31,$11
2021-09-30,$54
2021-06-30,$22
2021-03-31,$67
2020-12-31,$61
2020-09-30,$51
2020-06-30,$-13
2020-03-31,$39
2019-12-31,$24
2019-09-30,$28
2019-06-30,$4
2019-03-31,$25
2018-12-31,$27
2018-09-30,$18
2018-06-30,$4
2018-03-31,$21
2017-12-31,$16
2017-09-30,$26
2017-06-30,$-1
2017-03-31,$24
2016-12-31,$11
2016-09-30,$26
2016-06-30,$1
2016-03-31,$13
2015-12-31,$-21
2015-09-30,$32
2015-06-30,$11
2015-03-31,$29
2014-12-31,$19
2014-09-30,$24
2014-06-30,$8
2014-03-31,$17
2013-12-31,$6
2013-09-30,$20
2013-06-30,$10
2013-03-31,$23
2012-12-31,$12
2012-09-30,$26
2012-06-30,$17
2012-03-31,$22
2011-12-31,$15
2011-09-30,$17
2011-06-30,$11
2011-03-31,$17
2010-12-31,$7
2010-09-30,$10
2010-06-30,$6
2010-03-31,$8
2009-12-31,$35
2009-09-30,$7
2009-06-30,$-4
2009-03-31,$-3
