Replimune Quarterly Net Income (Millions of US $),Replimune Quarterly Net Income (Millions of US $).1
2024-12-31,$-66
2024-09-30,$-53
2024-06-30,$-54
2024-03-31,$-55
2023-12-31,$-51
2023-09-30,$-60
2023-06-30,$-50
2023-03-31,$-49
2022-12-31,$-40
2022-09-30,$-43
2022-06-30,$-42
2022-03-31,$-32
2021-12-31,$-30
2021-09-30,$-29
2021-06-30,$-27
2021-03-31,$-21
2020-12-31,$-22
2020-09-30,$-20
2020-06-30,$-17
2020-03-31,$-16
2019-12-31,$-16
2019-09-30,$-11
2019-06-30,$-10
2019-03-31,$-7
2018-12-31,$-8
2018-09-30,$-6
2018-06-30,$-10
2018-03-31,$-7
2017-12-31,$-4
2017-09-30,$-5
2017-06-30,$-4
2017-03-31,
