Altisource Portfolio Solutions S.A Quarterly Net Income (Millions of US $),Altisource Portfolio Solutions S.A Quarterly Net Income (Millions of US $).1
2024-09-30,$-9
2024-06-30,$-8
2024-03-31,$-9
2023-12-31,$-13
2023-09-30,$-11
2023-06-30,$-19
2023-03-31,$-13
2022-12-31,$-11
2022-09-30,$-14
2022-06-30,$-15
2022-03-31,$-12
2021-12-31,$71
2021-09-30,$-18
2021-06-30,$-18
2021-03-31,$-22
2020-12-31,$-7
2020-09-30,$-13
2020-06-30,$-35
2020-03-31,$-12
2019-12-31,$-306
2019-09-30,$7
2019-06-30,$-6
2019-03-31,$-3
2018-12-31,$-11
2018-09-30,$9
2018-06-30,$2
2018-03-31,$-4
2017-12-31,$286
2017-09-30,$7
2017-06-30,$9
2017-03-31,$7
2016-12-31,$-20
2016-09-30,$11
2016-06-30,$20
2016-03-31,$18
2015-12-31,$-45
2015-09-30,$37
2015-06-30,$46
2015-03-31,$4
2014-12-31,$-2
2014-09-30,$42
2014-06-30,$54
2014-03-31,$40
2013-12-31,$36
2013-09-30,$36
2013-06-30,$31
2013-03-31,$28
2012-12-31,$30
2012-09-30,$27
2012-06-30,$28
2012-03-31,$25
2011-12-31,$26
2011-09-30,$17
2011-06-30,$13
2011-03-31,$15
2010-12-31,$17
2010-09-30,$10
2010-06-30,$16
2010-03-31,$6
2009-12-31,$6
2009-09-30,$9
2009-06-30,$7
2009-03-31,$4
