National Vision Holdings Quarterly Net Income (Millions of US $),National Vision Holdings Quarterly Net Income (Millions of US $).1
2024-12-31,$-29
2024-09-30,$-8
2024-06-30,$-3
2024-03-31,$12
2023-12-31,$-16
2023-09-30,$-74
2023-06-30,$6
2023-03-31,$18
2022-12-31,$-9
2022-09-30,$12
2022-06-30,$10
2022-03-31,$30
2021-12-31,$6
2021-09-30,$41
2021-06-30,$38
2021-03-31,$43
2020-12-31,$35
2020-09-30,$35
2020-06-30,$-44
2020-03-31,$10
2019-12-31,$4
2019-09-30,$1
2019-06-30,$10
2019-03-31,$17
2018-12-31,$-18
2018-09-30,$5
2018-06-30,$12
2018-03-31,$24
2017-12-31,$26
2017-09-30,$2
2017-06-30,$-1
2017-03-31,$17
2016-12-31,
2016-09-30,$3
2015-12-31,
2014-12-31,
