Taseko Mines Quarterly Net Income (Millions of US $),Taseko Mines Quarterly Net Income (Millions of US $).1
2024-09-30,$-0
2024-06-30,$-8
2024-03-31,$14
2023-12-31,$50
2023-09-30,$1
2023-06-30,$7
2023-03-31,$3
2022-12-31,$-2
2022-09-30,$-18
2022-06-30,$-4
2022-03-31,$4
2021-12-31,$9
2021-09-30,$18
2021-06-30,$11
2021-03-31,$-9
2020-12-31,$5
2020-09-30,$1
2020-06-30,$14
2020-03-31,$-37
2019-12-31,$-7
2019-09-30,$-19
2019-06-30,$-8
2019-03-31,$-6
2018-12-31,$-15
2018-09-30,$5
2018-06-30,$-4
2018-03-31,$-15
2017-12-31,$-6
2017-09-30,$16
2017-06-30,$4
2017-03-31,$12
2016-12-31,$4
2016-09-30,$-12
2016-06-30,$-15
2016-03-31,$-1
2015-12-31,$-18
2015-09-30,$-13
2015-06-30,$3
2015-03-31,$-21
2014-12-31,$-21
2014-09-30,$-19
2014-06-30,$2
2014-03-31,$-8
2013-12-31,$-9
2013-09-30,$0
2013-06-30,$-15
2013-03-31,$-10
2012-12-31,$-7
2012-09-30,$-4
2012-06-30,$3
2012-03-31,$-8
2011-12-31,$-8
2011-09-30,$31
2011-06-30,$-1
2011-03-31,$6
2010-12-31,$26
2010-09-30,$1
2010-06-30,$44
2010-03-31,$74
2009-12-31,$2
2009-09-30,$-2
2009-06-30,$11
2009-03-31,$3
