Dianthus Therapeutics Quarterly Net Income (Millions of US $),Dianthus Therapeutics Quarterly Net Income (Millions of US $).1
2024-12-31,$-28
2024-09-30,$-25
2024-06-30,$-18
2024-03-31,$-14
2023-12-31,$-11
2023-09-30,$-15
2023-06-30,$-11
2023-03-31,$-7
2022-12-31,$20
2022-09-30,$-8
2022-06-30,$-17
2022-03-31,$-23
2021-12-31,$-19
2021-09-30,$-17
2021-06-30,$-17
2021-03-31,$-17
2020-12-31,$-18
2020-09-30,$-18
2020-06-30,$-19
2020-03-31,$-20
2019-12-31,$-23
2019-09-30,$-21
2019-06-30,$-18
2019-03-31,$-15
2018-12-31,$-17
2018-09-30,$-16
2018-06-30,$-14
2018-03-31,$-11
2017-12-31,
2017-09-30,$-7
2017-06-30,$-15
2016-12-31,
