AdvanSix Quarterly Net Income (Millions of US $),AdvanSix Quarterly Net Income (Millions of US $).1
2024-12-31,$0
2024-09-30,$22
2024-06-30,$39
2024-03-31,$-17
2023-12-31,$-5
2023-09-30,$-8
2023-06-30,$33
2023-03-31,$35
2022-12-31,$34
2022-09-30,$10
2022-06-30,$65
2022-03-31,$63
2021-12-31,$24
2021-09-30,$44
2021-06-30,$44
2021-03-31,$28
2020-12-31,$27
2020-09-30,$-1
2020-06-30,$11
2020-03-31,$9
2019-12-31,$-2
2019-09-30,$8
2019-06-30,$15
2019-03-31,$20
2018-12-31,$21
2018-09-30,$5
2018-06-30,$28
2018-03-31,$12
2017-12-31,$72
2017-09-30,$21
2017-06-30,$26
2017-03-31,$27
2016-12-31,$-25
2016-09-30,$16
2016-06-30,$15
2016-03-31,$27
2015-12-31,
2015-09-30,$20
2015-06-30,$25
2014-12-31,
2013-12-31,
