Cato Quarterly Net Income (Millions of US $),Cato Quarterly Net Income (Millions of US $).1
2024-10-31,$-15
2024-07-31,$0
2024-04-30,$10
2024-01-31,$-22
2023-10-31,$-6
2023-07-31,$1
2023-04-30,$4
2023-01-31,$-3
2022-10-31,$-4
2022-07-31,$-2
2022-04-30,$9
2022-01-31,$-6
2021-10-31,$8
2021-07-31,$13
2021-04-30,$20
2021-01-31,$-8
2020-10-31,$-3
2020-07-31,$-7
2020-04-30,$-27
2020-01-31,$-3
2019-10-31,$6
2019-07-31,$11
2019-04-30,$21
2019-01-31,$-3
2018-10-31,$4
2018-07-31,$6
2018-04-30,$23
2018-01-31,$-15
2017-10-31,$3
2017-07-31,$-1
2017-04-30,$22
2017-01-31,$-13
2016-10-31,$8
2016-07-31,$16
2016-04-30,$35
2016-01-31,$12
2015-10-31,$8
2015-07-31,$15
2015-04-30,$30
2015-01-31,$9
2014-10-31,$6
2014-07-31,$15
2014-04-30,$29
2014-01-31,$3
2013-10-31,$5
2013-07-31,$15
2013-04-30,$31
2013-01-31,$7
2012-10-31,$5
2012-07-31,$17
2012-04-30,$32
2012-01-31,$10
2011-10-31,$6
2011-07-31,$18
2011-04-30,$30
2011-01-31,$10
2010-10-31,$6
2010-07-31,$17
2010-04-30,$25
2010-01-31,$6
2009-10-31,$3
2009-07-31,$17
2009-04-30,$19
2009-01-31,$3
