Seanergy Maritime Holdings Corp Quarterly Net Income (Millions of US $),Seanergy Maritime Holdings Corp Quarterly Net Income (Millions of US $).1
2024-09-30,$13
2024-06-30,$14
2024-03-31,$10
2023-12-31,$11
2023-09-30,$-5
2023-06-30,$1
2023-03-31,$-4
2022-12-31,$0
2022-09-30,$7
2022-06-30,$6
2022-03-31,$4
2021-12-31,$21
2021-09-30,$20
2021-06-30,$2
2021-03-31,$-1
2020-09-30,$4
2020-03-31,$-8
2019-09-30,$1
2019-03-31,$-9
2018-09-30,$-6
2018-03-31,$-3
2017-03-31,$-6
2016-12-31,$-7
2016-09-30,$-6
2016-06-30,$-5
2016-03-31,$-7
2015-12-31,$-6
2015-09-30,$-1
2015-06-30,$-1
2015-03-31,$-1
2014-12-31,$-1
2014-09-30,$-1
2014-06-30,$-1
2014-03-31,$84
2013-12-31,$7
2013-09-30,$17
2013-06-30,$-15
2013-03-31,$1
2012-12-31,$-117
2012-09-30,$-42
2012-06-30,$-28
2012-03-31,$-6
2011-12-31,$7
2011-09-30,$-204
2011-06-30,$1
2011-03-31,$-2
2010-12-31,$-3
2010-09-30,$3
2010-06-30,$-2
2010-03-31,$0
2009-12-31,$-3
2009-09-30,$14
2009-06-30,$7
2009-03-31,$12
