Lovesac Quarterly Net Income (Millions of US $),Lovesac Quarterly Net Income (Millions of US $).1
2024-10-31,$-5
2024-07-31,$-6
2024-04-30,$-13
2024-01-31,$31
2023-10-31,$-2
2023-07-31,$-1
2023-04-30,$-4
2023-01-31,$26
2022-10-31,$-7
2022-07-31,$6
2022-04-30,$2
2022-01-31,$34
2021-10-31,$3
2021-07-31,$8
2021-04-30,$2
2021-01-31,$22
2020-10-31,$2
2020-07-31,$-1
2020-04-30,$-8
2020-01-31,$5
2019-10-31,$-7
2019-07-31,$-5
2019-04-30,$-9
2019-01-31,$10
2018-10-31,$-3
2018-07-31,$-34
2018-04-30,$-8
2018-01-31,
2017-10-31,$-3
2017-07-31,$-3
2017-01-31,
